salmangopi,"RT @ibrohi31: Water Supply Lines in lower Gizri to be replaced 4 Inch Dia pipes will be installed. 

UC31 Chairman Karamullah Waqasi has de…","Water Supply Lines in lower Gizri to be replaced 4 Inch Dia pipes will be installed. 

UC31 Chairman Karamullah Waqasi has decided to phase-wise replace old water supply lines with new ones in all Wards Of UC-31 to avoid delivering contaminated water to the area residents https://t.co/6Zek1WIqkT",[3]
AndrewNemec2,"RT @JoshGottheimer: “Dumping potentially contaminated waste next to Vernon's lakes is a threat to community,""Gottheimer said.""The EPA needs…","“Dumping potentially contaminated waste next to Vernon's lakes is a threat to community,""Gottheimer said.""The EPA needs to step in to help our local officials combat this before anything leaches into our water supply or causes lasting evironmental damage.""
https://t.co/e67ovCPuPg",[3]
pankaj161275,@Ceo_djb Due to the shortage of water /supply of contaminated water our children are suffering from water borne diseases and absent from school. WE HAVE ALWAYS PAID WATER BILL. इस THIS DEVOLPMENT. YOU ONLY पास COMPLAINT FROM ONE DESK TO ANOTHER.,,[3]
pankaj161275,@Ceo_djb sir this is tenth time we are telling you that previously the supply of pipeline water in shyam vihar phase 1 Najafgarh A Block was excellent but with laying of new pipeline the water supply is erratic &amp; contaminated. No action from your side.,,[3]
doritmi,RT @VeritasEver: @toppediatrician @weaponizedword1 @doritmi @MilenarioxX @itsmepanda1 @xXMilenarioXx @chrisvcsefalvay @ghoppe @DavidLMayhew…,"@toppediatrician @weaponizedword1 @doritmi @MilenarioxX @itsmepanda1 @xXMilenarioXx @chrisvcsefalvay @ghoppe @DavidLMayhew @lifebiomedguru @viva__lala @BlueLionBlog @EmmaGPaley @GeoffSchuler @WendyOrent @jkellyca @MilanovNina @djt10 @mcfunny @Vbalance03 @mmelgar09 @RightWingBlack2 @DansMonkeyShack @Gardeniagal4 @t3tragrammat0n @thereal_truther @LynnleeMavakay @fiski70 @maunablissed @Just4TheCause @janem1276 @Apotheosis1974 @Bibimunoz67 @Whats_The_Harm @ProAntiVaxxer @sarah_sxlxp @kenjaques @babyname_maven @rugbyrhino16 @Somemyrrh @PharmaNemesis @Joshua1_5 @andre__levy @VaccineUK @LiamKav @quietlynowshhh @KitemanArgues @Playerking95 @skepticalraptor @Melissa232220 I think you're wildly out of touch with what happens in countries other than the US, Dr H. Currently the Trump administration is desperately unwinding environmental and public health legislation as above, and the Flint water supply is still contaminated. Do I need to go on??",[3]
VeritasEver,"@toppediatrician @weaponizedword1 @doritmi @MilenarioxX @itsmepanda1 @xXMilenarioXx @chrisvcsefalvay @ghoppe @DavidLMayhew @lifebiomedguru @viva__lala @BlueLionBlog @EmmaGPaley @GeoffSchuler @WendyOrent @jkellyca @MilanovNina @djt10 @mcfunny @Vbalance03 @mmelgar09 @RightWingBlack2 @DansMonkeyShack @Gardeniagal4 @t3tragrammat0n @thereal_truther @LynnleeMavakay @fiski70 @maunablissed @Just4TheCause @janem1276 @Apotheosis1974 @Bibimunoz67 @Whats_The_Harm @ProAntiVaxxer @sarah_sxlxp @kenjaques @babyname_maven @rugbyrhino16 @Somemyrrh @PharmaNemesis @Joshua1_5 @andre__levy @VaccineUK @LiamKav @quietlynowshhh @KitemanArgues @Playerking95 @skepticalraptor @Melissa232220 I think you're wildly out of touch with what happens in countries other than the US, Dr H. Currently the Trump administration is desperately unwinding environmental and public health legislation as above, and the Flint water supply is still contaminated. Do I need to go on??",,[3]
lilicomp,RT @BaronBearbum: UK humanunkinds high on that list. Our water supply is being poisoned and contaminated with fracking. The lethal toxic ev…,UK humanunkinds high on that list. Our water supply is being poisoned and contaminated with fracking. The lethal toxic evil additives to our necessary water supply on an island? #fracking #waterpollution #extinction #toxic #ostrichengland #wakeup #TogetherStronger #purewater https://t.co/Mv5eBm2DYS,[3]
WulfrunianChris,@thedancingflea Bottles of champagne don’t get contaminated when sewage spills into the water supply too! It’s a win win!,,[3]
snowbird42,"RT @JohnCampbellNC: GenX chemical spill has now contaminated our water supply. Instead of cracking down on polluters, Danny Britt voted to…","GenX chemical spill has now contaminated our water supply. Instead of cracking down on polluters, Danny Britt voted to cut monies for monitoring water quality. Campbell will fight to ensure the cost to cleanup toxic spills is paid for by the polluters — not tax payers. #FlipSD13 https://t.co/txDRjyDyAU",[3]
ibrohi31,"Water Supply Lines in lower Gizri to be replaced 4 Inch Dia pipes will be installed. 

UC31 Chairman Karamullah Waqasi has decided to phase-wise replace old water supply lines with new ones in all Wards Of UC-31 to avoid delivering contaminated water to the area residents https://t.co/6Zek1WIqkT",,[3]
