GladeSpringFire,"August 22, 2018 at 10:38AM : Glade Spring Fire is responding to a report of a GENERAL ALERT at  . Please use caution if traveling through the area.",,Wed Aug 22 14:42:06 +0000 2018
KSP_Libs,"RT @cityofwinnipeg: At approximately 2:35 a.m. on Wednesday, August 22, Winnipeg Fire Paramedic Service (WFPS) crews responded to a report…","At approximately 2:35 a.m. on Wednesday, August 22, Winnipeg Fire Paramedic Service (WFPS) crews responded to a report of a fire at a residence in the 600 block of Manitoba Ave. For more info: https://t.co/l6wWJMfSQm",Wed Aug 22 14:39:30 +0000 2018
cityofwinnipeg,"At approximately 2:35 a.m. on Wednesday, August 22, Winnipeg Fire Paramedic Service (WFPS) crews responded to a report of a fire at a residence in the 600 block of Manitoba Ave. For more info: https://t.co/l6wWJMfSQm",,Wed Aug 22 14:37:21 +0000 2018
StefsterzD,"RT @cityofwinnipeg: At approximately 4:30 a.m. on Tuesday, August 21, Winnipeg Fire Paramedic Service (WFPS) crews responded to a report of…","At approximately 4:30 a.m. on Tuesday, August 21, Winnipeg Fire Paramedic Service (WFPS) crews responded to a report of a fire at a residential duplex in the 300 block of Manitoba Ave. For more info: https://t.co/D9zA0Zs6zJ",Wed Aug 22 13:46:32 +0000 2018
TheBigLipowsky,Report: IRGC officer confirms helping Houthis fire rockets at Saudis https://t.co/Qj2x30Yld9 #Iran,,Wed Aug 22 13:15:12 +0000 2018
FayCortez,"BI's Joel Levington quantifies the potential in a report this morning, titled: Medtronic May Have $15 Billion Bazooka to Fire at M&amp;A https://t.co/YjGJMhaNjk",,Wed Aug 22 13:13:57 +0000 2018
rpujolvives,"@FOX23 No one injured after large fire breaks out at Henryetta glass plant https://t.co/54cvLTL2Zu
Nothing is safely But fossil fuel is less https://t.co/Epnek5kCaf",,Wed Aug 22 13:04:23 +0000 2018
BrianBelhumeur,RT @CJPFirePhotos: Providence: I-95 South at Thurbers Ave report of a fully involved tractor trailer fire. Ch 5 assigned,Providence: I-95 South at Thurbers Ave report of a fully involved tractor trailer fire. Ch 5 assigned,Wed Aug 22 12:58:31 +0000 2018
SimsWill,RT @EdmundGriffiths: If this story abt the woman setting fire to herself at Barnet council housing office is accurate then the failure to r…,If this story abt the woman setting fire to herself at Barnet council housing office is accurate then the failure to report it is just extraordinary. The same thing happening abroad would be—has been—treated as front-page news. (If it's not accurate then it is a sick fabrication),Wed Aug 22 12:31:47 +0000 2018
KLINRadio,. @Lincoln_Police report no injuries so far in the building fire at 29th and N. https://t.co/yjw3cXdpnx,,Wed Aug 22 12:13:17 +0000 2018
norfolkanorak,RT @EastNorfolkBus: Thirty four years ago today fire took hold of the Fullers Hill premises of Norfolk Motor Services. Report on the vehicl…,Thirty four years ago today fire took hold of the Fullers Hill premises of Norfolk Motor Services. Report on the vehicles affected can be seen at https://t.co/RJqr2cU3VL https://t.co/XDRmocMCRl,Wed Aug 22 12:05:49 +0000 2018
fire_goddess22,"RP @EricRossKOAA There are 8-10 #fires actively burning right now near Peyton Highway and Powers Rd. 370 homes #evacuated. 1,000 residents impacted. LIVE report at 10 on @KOAA https://t.co/TWKvUM6WRA ~ #Fire #Fires #FireGoddess https://t.co/aqWBytc2WH",,Wed Aug 22 12:04:24 +0000 2018
NLCBTT,"According to a police report, at about 2 am, fire was seen coming from the small wooden house of Christopher Hylan, at Ryan Street, Petit",,Wed Aug 22 12:01:06 +0000 2018
radmehr109,RT @Jerusalem_Post: Report: IRGC officer confirms helping Houthis fire rockets at Saudis https://t.co/2heWPD2wxX,Report: IRGC officer confirms helping Houthis fire rockets at Saudis https://t.co/2heWPD2wxX,Wed Aug 22 11:39:20 +0000 2018
DaniWKYC,7:17 a.m. -- I-76 still a problem spot in the Norton/Barberton area.  I-76 EB closed due to a semi fire at Barber Rd.  Left lane blocked on the WB side of the highway causing about a 20 minute delay. Next on air traffic report on @wkyc at 7:26 a.m. https://t.co/CpUh0FaVEd,,Wed Aug 22 11:18:56 +0000 2018
BDoeschot,"Report of an explosion and now fire at a Lincoln #LNK home.  

Per scanner, people are still inside with flames visible. 

Debris shot 15-20 ft from home.     

@LincFireRescue on location. https://t.co/jJDcNL1FdU",,Wed Aug 22 11:11:16 +0000 2018
PatranyaKIRO7,"RT @TracyTTraffic: hearing about a fire in Auburn - commercial fire.. 
@PatranyaKIRO7 is on her way.. Live report at 4:30a on @KIRO7Seattle","hearing about a fire in Auburn - commercial fire.. 
@PatranyaKIRO7 is on her way.. Live report at 4:30a on @KIRO7Seattle",Wed Aug 22 10:57:53 +0000 2018
mannu_meh,Fire at #doordarshanbhawan's AC plant. The fire was controlled within ten minutes. No report of any injury or  casualty. @DDNewsLive https://t.co/d7PNiXqThI,,Wed Aug 22 10:53:13 +0000 2018
TracyTTraffic,"hearing about a fire in Auburn - commercial fire.. 
@PatranyaKIRO7 is on her way.. Live report at 4:30a on @KIRO7Seattle",,Wed Aug 22 10:36:26 +0000 2018
Aludecor,Yet another blaze caused casualties in Mumbai. It’s time all of us contributed towards a fire-safe society whenever we find an opportunity. Let's #BeatTheFire. https://t.co/TiBbPIw98M,,Wed Aug 22 10:05:48 +0000 2018
WFLAJana,"RT @WFLA: NEXT AT 6: 
#BREAKING Woman killed in Winter Haven house fire, 7 kids and mom escape burning home
@WFLARyan Mental competency rep…","NEXT AT 6: 
#BREAKING Woman killed in Winter Haven house fire, 7 kids and mom escape burning home
@WFLARyan Mental competency report due for man accused of driving into dad, 2 kids in New Tampa 
@WFLAJana Volunteers in Manatee County clean up fish killed by red tide https://t.co/NimbE02rCz",Wed Aug 22 09:59:48 +0000 2018
SundeWFLAWeb,"NEXT AT 6: 
#BREAKING Woman killed in Winter Haven house fire, 7 kids and mom escape burning home
@WFLARyan Mental competency report due for man accused of driving into dad, 2 kids in New Tampa 
@WFLAJana Volunteers in Manatee County clean up fish killed by red tide https://t.co/LGYoBm4NOD",,Wed Aug 22 09:58:47 +0000 2018
WFLA,"NEXT AT 6: 
#BREAKING Woman killed in Winter Haven house fire, 7 kids and mom escape burning home
@WFLARyan Mental competency report due for man accused of driving into dad, 2 kids in New Tampa 
@WFLAJana Volunteers in Manatee County clean up fish killed by red tide https://t.co/NimbE02rCz",,Wed Aug 22 09:58:31 +0000 2018
varung123,RT @Nitisha_Kashyap: Fire at Doordarshan Bhawan's AC plant. Fire was controlled within ten minutes. No report of any injury or  casualty. h…,Fire at Doordarshan Bhawan's AC plant. Fire was controlled within ten minutes. No report of any injury or  casualty. https://t.co/ugjjJQ41jB,Wed Aug 22 09:25:52 +0000 2018
