yes_that_girl_,@reni_rhe9 Kiun k rat mein sari sadness ubhar aati hai 😂😊,,[3]
sadness_saram,????????,,[3]
AinulMaarof,"RT @mxsriyatalks: the more i sin, the sadder i get &amp; then i realise the only thing in this dunya i can really depend on is Allah swt. thing…","the more i sin, the sadder i get &amp; then i realise the only thing in this dunya i can really depend on is Allah swt. things were made haram for a reason, we think that our hearts can handle it, but they can’t. sadness is a blessing &amp; a curse.",[3]
ojboziuboziu,RT @serendipityunki: Yoongi’s gummy smile to erase your sadness https://t.co/AU2kwbWdl6,Yoongi’s gummy smile to erase your sadness https://t.co/AU2kwbWdl6,[3]
judithyates1,"@WeAreTheLoopUK @Bestival Hopefully you have a big clear notice on the table where people hand in samples, saying “You will not get your pill or powder back”. Caused sadness among people who only had the one tab, @MADE__Festival , as they’d not seen our notice and thought they’d get it back after testing.",,[3]
adupuis10,RT @wweTheBeast2015: @RyanAFournier That is so disgusting these Liberals and their double standard in this country and NYT should be ashame…,@RyanAFournier That is so disgusting these Liberals and their double standard in this country and NYT should be ashamed of themselves to hired somebody like that and Yes I'm white and Proud of it and I look at her with disgust and sadness with sick people like that makes me want vomit.VoteTrump,[3]
a_villenueve,"RT @FaustiniMary: SAMSON, 5, #lab, has another day at #nycacc. He has a vol note, &amp; a u tube vid! Did not have an easy life. Let's turn his…","SAMSON, 5, #lab, has another day at #nycacc. He has a vol note, &amp; a u tube vid! Did not have an easy life. Let's turn his sadness into happiness, w/dancing eyes, huh? Can u give him a 🏡 w/ lots of ❤, &amp; TLC? But no meat products; allergic. #foster #adopt https://t.co/uuEIgjrDOm https://t.co/dDC7uXM9JX",[3]
TropALDUBCAVITE,RT @grabesila: Life has knocked me down a few times. It has shown me things I never wanted to see. I have experienced sadness and failures.…,"Life has knocked me down a few times. It has shown me things I never wanted to see. I have experienced sadness and failures. But one thing for sure, I always get up.
#ALDUBHanggangSaHuli",[3]
mimitchi333,"RT @itidipa: I just realized that Winnie the Pooh is the original Inside Out. 
Pooh is Joy.
Piglet is Fear.
Eeyore is Sadness.
Owl is Disgu…","I just realized that Winnie the Pooh is the original Inside Out. 
Pooh is Joy.
Piglet is Fear.
Eeyore is Sadness.
Owl is Disgust.
Rabbit is Anger.
And, last but not least... Tigger is Bing Bong.",[3]
_mnajwan,"RT @danialzz__: may Allah heal the broken heart. the ones who are silent, who cannot express their pain. the ones who always tired of every…","may Allah heal the broken heart. the ones who are silent, who cannot express their pain. the ones who always tired of everything. the ones who need a break. may Allah put an end to your sadness, may He put a smile on your face.",[3]
hadeeea1,Can Allah please make all of everyone's sadness go away ? Everyone I know is so sad,,[3]
Charmaine1Kelly,"RT @beingbrilliant: ""Think of what a precious privilege it is to be alive - to breathe, to think, to enjoy, to chase the things you love. S…","""Think of what a precious privilege it is to be alive - to breathe, to think, to enjoy, to chase the things you love. Sometimes there is sadness on our journey, but there is also lots of beauty. We must keep putting one foot in front of the other."" - unknown

Happy weekend. https://t.co/KspZcDZbRe",[3]
EilliseClery,"The feeling of sadness overcoming you when you see her falling for another guy and you say ""That used to be me, the way she looks at him and the way she talks about him."" sad life bro sad life.....",,[3]
KhalidDaud5,"RT @MubashirAKhalid: Glued to Phone/TV screen since early morning from Canada. Watching #JalsaSalanaUK on @muslimtv @JalsaConnect. 
Watchin…","Glued to Phone/TV screen since early morning from Canada. Watching #JalsaSalanaUK on @muslimtv @JalsaConnect. 
Watching Jalsa on MTA is like a roller coaster ride of emotions with feelings of sadness, happiness, tears &amp; funny moments. Khilfat is a like strong Magnet!
God Bless U! https://t.co/jhyoHGID0u",[3]
RehsimU,And I selfishly want to follow my dreams of becoming a producer or editor. I’m so afraid that I won’t be successful. I’m so afraid of seeing my parents cry. I don’t want to sadness. I don’t want to see stress. I don’t want to see tears. (But here I am crying my eyes out),,[3]
adityayellanki,"RT @im_mahima: @GautamGambhir @natashagambhir2 
U know how to turn tears of sadness to tears of joy😇
In my tough time u gave me the strengt…","@GautamGambhir @natashagambhir2 
U know how to turn tears of sadness to tears of joy😇
In my tough time u gave me the strength 💪
The care u &amp; Natasha mam shown towards me was incredible🤩🤩🤩
I remember each &amp; every moment when I met u😍😍😍
Thank you very much 4 ur kind gesture https://t.co/h7y4Ngk51F",[3]
Manar_ahmedx,RT @ZiadTarek_99: أزهى عصور ال summertime sadness حقيقي,أزهى عصور ال summertime sadness حقيقي,[3]
OfficialTimmyme,"RT @breatheapril: When people stare at the ocean, what were they thinking? Do they also wish for the waves to take their sadness away?","When people stare at the ocean, what were they thinking? Do they also wish for the waves to take their sadness away?",[3]
yanatrining,RT @sadpapizey: A DAY WITHOUT SADNESS PLEASE!!!!,A DAY WITHOUT SADNESS PLEASE!!!!,[3]
EQPhilly,"ASA GM to all💯
Imam Anwar N Muhaimin taught a class last winter and we discussed intent. We are only in control of our intent. Life happens after that. My intent is to be happy, but sadness comes as a part of life.... https://t.co/cWORp3IYw8",,[3]
prncessosa,"RT @myshortpoems: HER

She smiles even though she's in pain
She laugh even though she's always crying
No one notice her sadness
She always…","HER

She smiles even though she's in pain
She laugh even though she's always crying
No one notice her sadness
She always hides it in her mask

GRACE",[3]
alanrmalloy,"RT @mitranyukio: 💄ˎˊ˗ ━━ : （#memitsui.） 

i don't want to say goodbye. someone tell me why. i just want to see the stars with you. you lost…","💄ˎˊ˗ ━━ : （#memitsui.） 

i don't want to say goodbye. someone tell me why. i just want to see the stars with you. you lost, a part of your existence in the war, against yourself. oh, the lights, they light up in lights of sadness. telling you, it's time to go. https://t.co/7s8a0wC1zz",[3]
MpsTwitting,"There is no sadness, no shame and only pride from here to take...
What a wonderful exhibition of cricket.
#TeamIndia you played well. 
Have 4 test to go.. will be successful.
Kohli and Ashwin take a bow! 
#ENGvIND",,[3]
MrKayRamz,"RT @DavidRoads: Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.","Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.",[3]
ellefalak9,RT @WomenOfHistory: I'm strong because I know my weaknesses. I'm wise because I've been foolish. I laugh because I've known sadness.,I'm strong because I know my weaknesses. I'm wise because I've been foolish. I laugh because I've known sadness.,[3]
_itsmemagnooooo,RT @iambobongquotes: pls remove all this pain and sadness within myself,pls remove all this pain and sadness within myself,[3]
marwa84mero,"RT @shahida_srkian: 💕Sleep is the best medicine for anxiety nf sadness
u may feel better after a gud sleep💕

@iamsrk 💋 💋
We love you our ki…","💕Sleep is the best medicine for anxiety nf sadness
u may feel better after a gud sleep💕

@iamsrk 💋 💋
We love you our king 👑

#Good_Night🌉
😴😴

@iamShaikhUmeR
@SRKsCombatant
@iamritz_
@WaqarAh13175904
@IK_SRKian
@Fchisty_
@AadilSRKian
@AADILSrkian1
@SrkRrahul
@kashif_srkian https://t.co/qnKdJDCCXx",[3]
IslaBarbaraisa,RT @ricsl1600: An ounce of cheerfulness is worth a pound of sadness to serve God with. - Thomas Fuller #ALDUBHanggangSaHuli,An ounce of cheerfulness is worth a pound of sadness to serve God with. - Thomas Fuller #ALDUBHanggangSaHuli,[3]
BritneyRecht,"Because we were Russian, sadness came naturally to us. But so did reading. In my family, a book was a life raft. https://t.co/dzHkLsXeR5 #yougottahearthis",,[3]
NaziQazi,"I marveled at the fun place that had a lot of colorful distractions but it grew paler with time. After I glanced them sitting on the table. Impoversihed place, everything duplicate and second-grade except for them. Thrilled with sadness I started retracing steps, wondering this",,[3]
yamonaakk,"No one notices your tears
No one notices your sadness 
No one notices your pains
But they always notice your mistakes.. https://t.co/wXxHrGYWQc",,[3]
ChrisagataI,It's with great sadness that we people the of Mugirango receive the demise of Henry 'Egesora' Obwocha.We pray that God gives his Family strength during this trying period. Fare thee well Mheshimiwa.,,[3]
PatchieSteve,"RT @DawnHosmer7: I'm stuck here with no escape.  No good options only paths leading to more pain, loss, and sadness. I'm drowning in a pool…","I'm stuck here with no escape.  No good options only paths leading to more pain, loss, and sadness. I'm drowning in a pool of indecision. Your deceit pushes me back under each time I rise to take a breath. You used to be my life preserver now I must try to save myself. #satsplat",[3]
studentofsex1,"RT @LadyM_07: Be the reason her eyes are pools of seduction, not sadness.","Be the reason her eyes are pools of seduction, not sadness.",[3]
iFaizanSRK,"RT @FreakyTheory: Remind yourself:

•The past can't be changed
•Opinions don't define your reality
•Everyone's journey is different
•Overth…","Remind yourself:

•The past can't be changed
•Opinions don't define your reality
•Everyone's journey is different
•Overthinking will lead to sadness
•Happiness is found WITHIN
•Positive vibes create positive outcomes
• What goes around, comes around",[3]
_celestialbts,"RT @btsndology: ""we will overcome whatever we face. we may feel sad but it won't be sadness, we may feel afraid but it won't be fear. that'…","""we will overcome whatever we face. we may feel sad but it won't be sadness, we may feel afraid but it won't be fear. that's bts"" kim namjoon, 121017",[3]
MacHinagpis,Sadness overload,,[3]
sofiffy,RT @mxsriyatalks: i truly enjoy seeing people happy. may Allah swt make you all happy.. if you’re sad then be happy because there’s not a t…,i truly enjoy seeing people happy. may Allah swt make you all happy.. if you’re sad then be happy because there’s not a thing on Earth that’s worth your sadness.,[3]
PingMahadevan,This momwnt of my life is sadness #ENGvIND,,[3]
MarieyamDee,"RT @itstaytorres: Depression isn’t always suicidal thoughts, and loneliness, and unending sadness. Sometimes it’s sleeping too much or too…","Depression isn’t always suicidal thoughts, and loneliness, and unending sadness. Sometimes it’s sleeping too much or too little. Not wanting to eat or take care of your body. It’s a lack of motivation once there. A dislike in your own interests.",[3]
sadness_grass01,@mamepanda_v 前髪無し子に一度なってしまうと戻れぬぞ…( ˘ω˘ )つらぁ(笑),,[3]
