Imaarrii,@MichaJawkan Major downside of multihit aoe explosion ammo: range and stagger ...... Capcom: what if we give a mantle that makes you immune to damage and stagger 🤔🤔🤔,,[3]
SpellEvery,"Name: Immoral Explosion
Target: Channeled
Range: 10ft
Effects: apply sleep to target,
 apply paralysis to target,
 apply poison to target,
 apply death to target,
 25 shock damage to caster",,[3]
ArizonaNewsnet,RT @TucsonStar: World View balloon explosion caused nearly half a million dollars in damage https://t.co/vnbIQYtrKD https://t.co/ADpo8I3vkN,World View balloon explosion caused nearly half a million dollars in damage https://t.co/vnbIQYtrKD https://t.co/ADpo8I3vkN,[3]
TucsonStar,World View balloon explosion caused nearly half a million dollars in damage https://t.co/vnbIQYtrKD https://t.co/ADpo8I3vkN,,[3]
sheerassattack,"The explosion is small enough that it does no real damage to anything else, though it ripples across the tip of Kira's dick",,[3]
tatianycoeuvre,"RT @FtJ13216153: @tatianycoeuvre The more important damage isn't due to the explosion itself, the damage would be due to the released radio…","@tatianycoeuvre The more important damage isn't due to the explosion itself, the damage would be due to the released radioactive fragments on wide areas due to the explosion, as cobalt bombs are used as payload in those drones.",[3]
JayRyanAstro,"Rogue meteor explodes with a force of 2.1 kilotons near a US Air Force base in Greenland.  Video included of the damage from the Chelyabinsk event in 2013, which blew out windows and even doors... a reminder that cosmic debris can drop down from above... https://t.co/9AvxDYU71x",,[3]
lummideastrss2,Aleppo: damage near Abu Bakr al-Siddi mosque in the area of ​​Hamdaniya cause rocket-propelled grenade explosion https://t.co/JUU8QdMSZY,,[3]
Gene_Xgh,RT @NSIAInsurance: Our Computer &amp; Electronic Equipment Insurance - This policy covers against loss or damage to your Computer and other Ele…,"Our Computer &amp; Electronic Equipment Insurance - This policy covers against loss or damage to your Computer and other Electronic Equipment as a result of Fire, Lightning, Explosion, Burglary, Theft, Water damage and other accidental causes.

#Assurance
#ProductOfTheWeek https://t.co/iJrzNGKiCE",[3]
Krashy_,"@Rhymestyle No, you got the damage for each needle hit but not the explosion itself.",,[3]
JayBoneMusic,"Mystery meteor reportedly makes 2.1 kiloton explosion above US military base — and the Air Force said nothing - Business Insider

-&gt;so something of that magnitude has no trace of its existence other than tweets and charts??? 🤔

No tsunami, wind damage etc https://t.co/qg9Zo31Dk1",,[3]
sakanachanukule,"Health damage caused by radioactivity by Fukushima explosion came out in Japan. Thyroid cancer, such as leukemia.",,[3]
ElmerPalaceSE25,"On This Day In 2001 a car bomb containing 45kg Of explosives detonated in a busy west London street. The explosion happened just after midnight &amp; caused an estimated £200,000 of damage. Dissident Irish republicans were blamed.   #OnThisDay    #EalingBroadway   #CarBomb https://t.co/nFWU3YoxU8",,[3]
OccuWorld,Aleppo: damage near Abu Bakr al-Siddi mosque in the area of ​​Hamdaniya cause rocket-propelled grenade explosion https://t.co/QYmSgPr3Dd,,[3]
nemo_sub,@PeterLePage There were reports of an explosion but I was on the front in town and didn't hear anything. Just thick black smoke reaching across to Peter Port. Hopefully no one hurt and not too much damage.,,[3]
jyuannkimo,"@PumaBare @ElonMuskNewsOrg Good question. My guess is that a cylindrical battery is a lot easier to make, compared to a huge and flat one albeit the total electricity that it provides is unavoidably less. In addition, in case of explosion, one single battery explosion causes far less damage to the vehicle.",,[3]
InferNorse,@Professeur_CS @gla1ve_csgo I like this although kills the excitement in ninjas 🤔 I would agree with it increasing the C4 explosion damage a bit.,,[3]
SyrianNews247,Aleppo: damage near Abu Bakr al-Siddi mosque in the area of ​​Hamdaniya cause rocket-propelled grenade explosion https://t.co/YNH10N9Nu2 https://t.co/Bm1uRbJyU5,,[3]
Defaultskin8,RT @JackalMRB: @Defaultskin8 @zTriKz @SGH_RTs @BlazedRTs Dynamic explosive damage. As you get farther from the center of the explosion you…,@Defaultskin8 @zTriKz @SGH_RTs @BlazedRTs Dynamic explosive damage. As you get farther from the center of the explosion you take less damage,[3]
JackalMRB,@Defaultskin8 @zTriKz @SGH_RTs @BlazedRTs Dynamic explosive damage. As you get farther from the center of the explosion you take less damage,,[3]
Pubsified_,"@fIuxed LMAOOO idek I think they increased the damage radius , so they increased the size of the explosion but not the damage itself",,[3]
AZgeri2004,"World View Explosion “Superficial” Damage Costs Double, Half-A-Million In Repairs - https://t.co/EbUin0rpUQ",,[3]
ianjmajewski,"Without MBD4, methylation damage fuels an explosion of abnormal blood cell progenitors and guides them along a conserved path to leukaemia. We reveal how methylation damage impacts blood stem biology, which has relevance for understanding normal ageing #ARCH #CHIP",,[3]
Steftyler,"RT @Yalla_EN: Sadr City Explosion Response

An explosion at a weapon's cache in majority Shi'ite Sadr City, #Baghdad on June 6 caused massi…","Sadr City Explosion Response

An explosion at a weapon's cache in majority Shi'ite Sadr City, #Baghdad on June 6 caused massive damage. One of the first to respond was Sunni mechanic Laith, leading the clear up and repairing what vehicles he and his team could. https://t.co/SW7LPCQD9B",[3]
