WillowBurnt,"RT @DavidBegnaud: BREAKING: Large power outage on the western side of Puerto Rico is affecting Las Marias, Mayagüez, Lares, Aguadilla, Moca…","BREAKING: Large power outage on the western side of Puerto Rico is affecting Las Marias, Mayagüez, Lares, Aguadilla, Moca, Aguada, Añasco, &amp; Rincón; cause unknown 

To live in Puerto Rico means to live with power that routinely goes out, sometimes weekly",Sat Aug 04 09:06:43 +0000 2018
stephgoins66,@KeysEnergy 28562 Dirk Road Little Torch without Power.  We had it until 2 hours ago  staying at a friends - no way to report the outage,,Sat Aug 04 09:06:33 +0000 2018
fixourroadsng,RT @AdelowoOguntola: Let's forget about any plan about tourism in Nigeria. No foreigner will visit a country when there's always power outa…,"Let's forget about any plan about tourism in Nigeria. No foreigner will visit a country when there's always power outage. If the tourist is sick, which hospital can we boast of good healthcare facilities? They are afraid of our death traps we called ""roads"". Basic amenities first https://t.co/djJydw3WZg",Sat Aug 04 09:05:01 +0000 2018
leprechaunroy1,@CityPowerJhb Power has been restored at 11am. I see no tweets regarding this outage or the cause thereof. Are you on holiday today?,,Sat Aug 04 09:04:58 +0000 2018
AliChundrigar,@KElectricPk After outage on 2nd August when power finally came on there was a power surge which blew all electric bulbs and burnt fan motors at @ACFAnimalRescue which is a Charity causing huge financial losses. Who’s going to pay for this? cc @DadaSadia,,Sat Aug 04 08:58:00 +0000 2018
JoshuaT29950442,Power Outage (There was a Blackout): https://t.co/G9YBil56Nb via @YouTube,,Sat Aug 04 08:57:31 +0000 2018
stirea,"@UKPowerNetworks We seem to have a power outage, fuse and meter are fine in our flat, what next?",,Sat Aug 04 08:56:39 +0000 2018
stephgoins66,@KeysEnergy Staying at a friends 28562 Dirk Road No Power and no phone number to report outage,,Sat Aug 04 08:55:11 +0000 2018
EwellBuilders,A power outage shouldn’t mean your health should suffer. Keep your medical equipment on in the best of times and worst of times.,,Sat Aug 04 08:55:01 +0000 2018
snazrene,@CityPowerJhb please advise reason for power outage in Bramley Park. Ref- CP2247177. What is the estimated restoration time?,,Sat Aug 04 08:46:56 +0000 2018
TheGoodSentinel,@ElectricityNW I’ve just heard from British Gas about the power outage in OL4 postcode. They say restoration time is 15:08. Could you confirm this? Thanks.,,Sat Aug 04 08:46:25 +0000 2018
BasavaMech,#bescom we have power outage in our area basavanagar Ramaiah reddy colony sector B request you to resolve the issue as soon as possible,,Sat Aug 04 08:41:26 +0000 2018
owino_tyrus,@KenyaPower_Care please assist power outage in alunya village siaya county.. Power is there only at night but not in the morning..or else we will file case on it! @ntvkenya,,Sat Aug 04 08:36:05 +0000 2018
ZukuOfficial,"@tonysissey Hello Anthony, we are experiencing service outage in your area due to power flux on Fiber line. We are working with Power team to resolve this at soonest. Ref 2345. *MN",,Sat Aug 04 08:34:42 +0000 2018
ZukuOfficial,"@kamuchau Hello Kayjay, we are experiencing service outage in your area due to power flux on Fiber line. We are working with Power team to resolve this at soonest. Ref 2345. *MN",,Sat Aug 04 08:33:44 +0000 2018
moggchi,【power outage】: 停電,,Sat Aug 04 08:32:33 +0000 2018
SNVredcross,"@SNVRedCross has opened a shelter at - Whitney Ranch Community Center 1575 Galleria Dr., in Henderson, NV after a mobile home fire resulted in a power outage. #RedCross volunteers are providing meals, water, cots and blankets for area residents in need. https://t.co/IiWFaSck7B",,Sat Aug 04 08:27:45 +0000 2018
garciacroy,"RT @DavidBegnaud: Just got an update on the power outage on the western side of Puerto Rico

The transmission line that broke, in the San G…","Just got an update on the power outage on the western side of Puerto Rico

The transmission line that broke, in the San German area last night, has still not been fully repaired &amp; won’t be until tomorrow afternoon, at the earliest

Another night in the dark for 20,000+ people https://t.co/p3zsgWNTIP",Sat Aug 04 08:21:27 +0000 2018
MthathaEC,"NOTICE OF POWER OUTAGE

Consumers are notified of a power outage scheduled to take place on the:

5 AUGUST 2018 AS FROM 08H00 UNTIL 17H00

Should there be inclement weather conditions or technical constraints, the... https://t.co/O6SmBeFk8h",,Sat Aug 04 08:16:15 +0000 2018
WXII,Power outage caused by flooding prompts closure at Gateway YWCA until next week https://t.co/eHpDAck4ka https://t.co/uo1c0Il3Jo,,Sat Aug 04 08:15:24 +0000 2018
nerishar,@eThekwiniM Is there any power outage in Phoenix Industrial Park.... Without power from 17.30 last night.,,Sat Aug 04 08:14:26 +0000 2018
claws0922,@WKRN @WSMV Anybody know what happened to the power in Antioch? I'm on Bell Road near Blue Hole road and it's been out over an hour. Outage map on their site doesn't show anything.,,Sat Aug 04 08:13:10 +0000 2018
iAm_MrSammy,"@usmanNahuche @OSCARanking I might believe. The north enjoy light more than the south and west. When I went to Jalingo, I spent one week and didn't see any power outage",,Sat Aug 04 08:11:45 +0000 2018
ritoniax2fray,@KenyaPower_Care @KenyaPower  @MboyaApollo  @JerotichSeii assist plz power outage around tala machakos county misuuni village matungulu subcounty account 14284268829,,Sat Aug 04 08:08:45 +0000 2018
Jhaydee_288,@meralco any idea how long it will take to fix this power outage?,,Sat Aug 04 08:05:06 +0000 2018
DoctorLoveless1,White Brooklyn firefighter investigated for screaming slurs at black EMT while she was helping power outage victims https://t.co/4wjEvJ0YRQ,,Sat Aug 04 08:04:45 +0000 2018
Montgomery_911,POWER OUTAGE Quisenberry/Owingsville rd area.  Electrical fire in the Woodlands Subdivision has been Contained.  Emergency Crews on scene. Current estimations for power restoration 06:00 am.  Stay tuned for further updates as they are received !! https://t.co/Qgv5g7N8fL,,Sat Aug 04 08:02:05 +0000 2018
poweralertsbot,"Power outage reported at Imara Daima Estate, Nairobi, Kenya.(imara)",,Sat Aug 04 08:00:06 +0000 2018
ritoniax2fray,@KenyaPower_Care @MboyaApollo  @JerotichSeii  what's this!!!there's a power outage around misuuni village tala matungulu subcounty machakos county which wasnt  part of the areas to experience power mantainance.why is @KenyaPower_Care always doing this!!! https://t.co/yMhjFBnnqT,,Sat Aug 04 07:43:30 +0000 2018
amorawu,Let's not forget the water outages either. Worst part is that a lot of the city's pumps also stop working with each power outage https://t.co/8Q5RQHWGsy,,Sat Aug 04 07:41:35 +0000 2018
Lamp000003,"#RajasthanGauravYatra
Development seen on ground 
Visited Nathdwara after few years ,  no power outage, clean roads , flyovers, 4 lane highways.
Keep up good work of #vikas @BJP4India",,Sat Aug 04 07:32:58 +0000 2018
lanaya_nay,Shoutout @DUALIPA for getting us through this power outage.,,Sat Aug 04 07:32:52 +0000 2018
